STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790101,533,1364
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790201,251,440
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790301,323,935
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790401,464,2097
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790501,1379,3088
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790601,300,1029
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790701,180,655
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790801,97,340
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19790901,79,185
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19791001,225,418
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19791101,276,857
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19791201,304,504
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800101,25,38
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800201,37,57
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800301,191,206
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800401,604,1441
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800501,257,997
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800601,173,448
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800701,260,597
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800801,620,2357
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19800901,117,385
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19801001,50,120
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19801101,470,845
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19801201,42,70
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810101,51,116
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810301,547,2414
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810401,429,1286
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810501,924,1438
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810601,163,627
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810701,80,396
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810801,644,1424
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19810901,85,387
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19811001,427,1583
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19811101,122,455
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19811201,148,1025
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820101,11,19
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820301,435,525
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820401,502,2303
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820501,1117,6487
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820601,239,896
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820701,276,1317
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820801,297,397
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19820901,97,662
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19821001,707,2196
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19821101,400,977
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19821201,225,535
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830101,5,5
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830201,292,307
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830301,50,77
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830401,361,1077
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830501,1300,6899
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830601,350,1717
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830701,302,1114
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830801,115,368
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19830901,218,549
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19831001,120,240
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19831101,107,319
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19831201,180,332
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19840101,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19840201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19840301,42,113
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19840401,681,3626
